countryName,countryCode,emissionPerCap,totalEmission,continent
Singapore,SGP,4.32,22394,asia
Solomon Islands,SLB,0.37,198,oceania
Sierra Leone,SLE,0.15,898,africa
El Salvador,SLV,1.1,6685,northAmerica
Somalia,SOM,0.06,576,africa
Serbia,SRB,6.8,49185,europe
Sao Tome and Principe,STP,0.59,103,africa
Suriname,SUR,3.65,1911,southAmerica
Slovak Republic,SVK,6.37,34374,europe
Slovenia,SVN,7.5,15405,europe
Sweden,SWE,5.52,52145,europe
Swaziland,SWZ,0.86,1049,africa
Seychelles,SYC,6.84,598,africa
Syrian Arab Republic,SYR,2.74,57671,asia
Turks and Caicos Islands,TCA,6.01,191,northAmerica
Chad,TCD,0.04,539,africa
Togo,TGO,0.32,2098,africa
Thailand,THA,4.53,303371,asia
Tajikistan,TJK,0.36,2783,asia
Turkmenistan,TKM,12.18,62218,asia
Timor-Leste,TLS,0.16,183,asia
Tonga,TON,0.98,103,oceania
Trinidad and Tobago,TTO,37.14,49574,northAmerica
Tunisia,TUN,2.4,25643,africa
Turkey,TUR,4.38,320840,asia
Tanzania,TZA,0.15,7301,africa
Uganda,UGA,0.11,3799,africa
Ukraine,UKR,6.26,286228,europe
Uruguay,URY,2.3,7774,southAmerica
United States,USA,17.02,5305570,northAmerica
Uzbekistan,UZB,3.91,114861,asia
St. Vincent and the Grenadines,VCT,2.18,238,northAmerica
Venezuela,VEN,6.42,188817,southAmerica
Vietnam,VNM,1.97,173211,asia
Vanuatu,VUT,0.59,143,oceania
Samoa,WSM,1.25,235,oceania
Yemen,YEM,0.92,22295,asia
South Africa,ZAF,9.26,477242,africa
Zambia,ZMB,0.21,3047,africa
Zimbabwe,ZWE,0.69,9861,africa
